column,dtype,pct_non_null,is_constant
away_fg_made_list_matchup_ewma,float64,94.0,False
away_fg_made_list_matchup_roll5,float64,67.2,False
away_fg_made_list_produced_ewma,float64,94.4,False
away_fg_made_list_produced_roll5,float64,80.1,False
away_fg_made_matchup_ewma,float64,95.2,False
away_fg_made_matchup_roll5,float64,95.2,False
away_fg_made_produced_ewma,float64,95.2,False
away_fg_made_produced_roll5,float64,95.2,False
away_fg_missed_0_19_allowed_ewma,float64,99.5,True
away_fg_missed_0_19_allowed_roll5,float64,99.5,True
away_fg_missed_0_19_matchup_ewma,float64,95.2,True
away_fg_missed_0_19_matchup_roll5,float64,95.2,True
away_fg_missed_0_19_produced_ewma,float64,95.2,True
away_fg_missed_0_19_produced_roll5,float64,95.2,True
away_fg_missed_20_29_allowed_ewma,float64,99.5,False
away_fg_missed_20_29_allowed_roll5,float64,99.5,False
away_fg_missed_20_29_matchup_ewma,float64,95.2,False
away_fg_missed_20_29_matchup_roll5,float64,95.2,False
away_fg_missed_20_29_produced_ewma,float64,95.2,False
away_fg_missed_20_29_produced_roll5,float64,95.2,False
away_fg_missed_30_39_allowed_ewma,float64,99.5,False
away_fg_missed_30_39_allowed_roll5,float64,99.5,False
away_fg_missed_30_39_matchup_ewma,float64,95.2,False
away_fg_missed_30_39_matchup_roll5,float64,95.2,False
away_fg_missed_30_39_produced_ewma,float64,95.2,False
away_fg_missed_30_39_produced_roll5,float64,95.2,False
away_fg_missed_40_49_allowed_ewma,float64,99.5,False
away_fg_missed_40_49_allowed_roll5,float64,99.5,False
away_fg_missed_40_49_matchup_ewma,float64,95.2,False
away_fg_missed_40_49_matchup_roll5,float64,95.2,False
away_fg_missed_40_49_produced_ewma,float64,95.2,False
away_fg_missed_40_49_produced_roll5,float64,95.2,False
away_fg_missed_50_59_allowed_ewma,float64,99.5,False
away_fg_missed_50_59_allowed_roll5,float64,99.5,False
away_fg_missed_50_59_matchup_ewma,float64,95.2,False
away_fg_missed_50_59_matchup_roll5,float64,95.2,False
away_fg_missed_50_59_produced_ewma,float64,95.2,False
away_fg_missed_50_59_produced_roll5,float64,95.2,False
away_fg_missed_60__allowed_ewma,float64,99.5,False
away_fg_missed_60__allowed_roll5,float64,99.5,False
away_fg_missed_60__matchup_ewma,float64,95.2,False
away_fg_missed_60__matchup_roll5,float64,95.2,False
away_fg_missed_60__produced_ewma,float64,95.2,False
away_fg_missed_60__produced_roll5,float64,95.2,False
away_fg_missed_allowed_ewma,float64,99.5,False
away_fg_missed_allowed_roll5,float64,99.5,False
away_fg_missed_distance_allowed_ewma,float64,99.5,False
away_fg_missed_distance_allowed_roll5,float64,99.5,False
away_fg_missed_distance_matchup_ewma,float64,95.2,False
away_fg_missed_distance_matchup_roll5,float64,95.2,False
away_fg_missed_distance_produced_ewma,float64,95.2,False
away_fg_missed_distance_produced_roll5,float64,95.2,False
away_fg_missed_list_allowed_ewma,float64,97.7,False
away_fg_missed_list_allowed_roll5,float64,64.8,False
away_fg_missed_list_matchup_ewma,float64,92.5,False
